CODGEO;sous_seg1;Seg1
1127;2_3;2.0
11270000;2_3;2.0
1128;2_1;2.0
11280000;2_1;2.0
1129;1;1.0
11290000;1;1.0
1130;2_3;2.0
11300000;2_3;2.0
1133;1;1.0
11330000;1;1.0
1134;3_3;3.0
11340000;3_3;3.0
1135;3_1;3.0
11350000;3_1;3.0
1136;1;1.0
11360000;1;1.0
1138;5;5.0
11380000;5;5.0
1139;2_3;2.0
11390000;2_3;2.0
1140;2_3;2.0
11400000;2_3;2.0
1141;1;1.0
11410000;1;1.0
1142;5;5.0
11420000;5;5.0
1143;8_1;8.0
11430000;8_1;8.0
1144;2_3;2.0
11440000;2_3;2.0
1145;3_1;3.0
11450000;3_1;3.0
1146;2_2;2.0
11460000;2_2;2.0
1147;2_1;2.0
11470000;2_1;2.0
1148;3_1;3.0
11480000;3_1;3.0
1149;2_2;2.0
11490000;2_2;2.0
1150;1;1.0
11500000;1;1.0
1151;3_2;3.0
11510000;3_2;3.0
1152;2_3;2.0
11520000;2_3;2.0
1153;1;1.0
11530000;1;1.0
1154;2_3;2.0
11540000;2_3;2.0
1155;1;1.0
11550000;1;1.0
1156;1;1.0
11560000;1;1.0
1157;4;4.0
11570000;4;4.0
1158;1;1.0
11580000;1;1.0
1159;4;4.0
11590000;4;4.0
1160;8_1;8.0
11600000;8_1;8.0
1162;1;1.0
11620000;1;1.0
1163;2_3;2.0
11630000;2_3;2.0
1165;1;1.0
11650000;1;1.0
1166;3_2;3.0
11660000;3_2;3.0
1167;1;1.0
11670000;1;1.0
1169;2_2;2.0
11690000;2_2;2.0
1170;2_2;2.0
11700000;2_2;2.0
1171;3_2;3.0
11710000;3_2;3.0
1172;2_1;2.0
11720000;2_1;2.0
1174;2_3;2.0
11740000;2_3;2.0
1175;2_2;2.0
11750000;2_2;2.0
1176;1;1.0
11760000;1;1.0
1177;1;1.0
11770000;1;1.0
1179;3_1;3.0
11790000;3_1;3.0
1180;3_1;3.0
11800000;3_1;3.0
1181;3_3;3.0
11810000;3_3;3.0
1182;1;1.0
11820000;1;1.0
1183;3_2;3.0
11830000;3_2;3.0
1184;1;1.0
11840000;1;1.0
1185;8_1;8.0
11850000;8_1;8.0
1186;1;1.0
11860000;1;1.0
1187;2_3;2.0
11870000;2_3;2.0
1188;1;1.0
11880000;1;1.0
1189;2_3;2.0
11890000;2_3;2.0
1190;1;1.0
11900000;1;1.0
