p_1enf;p_2enf;p_m5;p_5_10;p_10_15;p_15_20;sexe_age
0.924762329;0.48325502372;0.1172992277;0.2808496766;0.3423486492;0.1842647756;M42
0.8975117106;0.47880238504;0.0879078876;0.2501242174;0.3385107681;0.2209688376;M43
0.848187278;0.46321137139;0.0630167317;0.2105217494;0.3218727572;0.2527760396;M44
0.8116325401;0.45447482014;0.0443400866;0.1760976159;0.3069051359;0.2842897017;M45
0.7832549251;0.45276760528;0.0301290698;0.1442171737;0.2930140621;0.3158946194;M46
0.7099057193;0.42704999762;0.0182692168;0.1095593459;0.2623180686;0.319759088;M47
0.6357854796;0.40032288885;0.0102206547;0.0812839577;0.231277157;0.3130037102;M48
0.5549710187;0.36593651459;0.0053937809;0.0581657838;0.1943160527;0.2970954014;M49
0.4869486406;0.33328311054;0.0026035031;0.0407247502;0.1617392288;0.2818811585;M50
0.4134975399;0.29150465637;0.0012607052;0.0265754542;0.1272072756;0.258454105;M51
0.3473556322;0.24813277815;0.0005636838;0.016239067;0.0973846651;0.2331682163;M52
0.2920775015;0.20718973712;0.0002879891;0.009239307;0.0734793865;0.209070819;M53
0.2400048845;0.16511872025;0.000169094;0.0050164561;0.0540967652;0.1807225692;M54
0.1965134028;0.1288293158;0.0001146173;0.0024934467;0.0390032169;0.1549021219;M55
0.1511504416;0.09338039898;5.88475e-05;0.0012285716;0.0258980829;0.1239649396;M56
