codgeo;P10_POP0610;P10_POP1117;P10_POP1824;P10_POP2539;P10_POP4054;P10_POP5564;P10_POP6579;P10_POP80P
64232;11.336735;10.306122;13.397959;39.163265;40.193878;30.918367;39.163265;7.214286
64233;78.301475;116.448347;60.231904;259.997353;223.861908;201.758389;197.683769;146.35354
64234;21.521739;14.673913;5.869565;40.108696;40.108696;35.217391;28.369565;22.5
64235;15.624161;22.459732;17.577181;47.848993;56.637584;43.942953;46.872483;25.389262
64236;1.83871;4.596774;0.0;5.516129;17.467742;5.516129;18.387097;3.677419
64237;224.974424;319.201558;278.408783;577.992656;801.27575;522.312148;490.887132;227.340748
64238;138.0;175.0;104.0;313.0;470.0;260.0;229.0;87.0
64239;15.241935;5.080645;8.129032;18.290323;29.467742;17.274194;12.193548;16.258065
64240;7.909091;18.454545;6.151515;15.818182;39.545455;26.363636;32.515152;19.333333
64241;29.95082;43.377049;27.885246;67.131148;109.47541;64.032787;48.540984;25.819672
64242;2.911765;4.852941;0.0;5.823529;14.558824;16.5;9.705882;6.794118
64243;20.341176;18.2;5.352941;41.752941;32.117647;12.847059;18.2;13.917647
64244;11.160976;23.336585;11.160976;31.453659;57.834146;26.380488;24.35122;11.160976
64245;33.0;49.0;18.0;86.0;128.0;68.0;106.0;46.0
64246;17.593886;23.803493;4.139738;65.200873;45.537118;30.0131;19.663755;3.104803
64247;21.0;32.0;16.0;63.0;95.0;81.0;81.0;34.0
64249;66.885628;115.529722;80.06007;234.086463;270.582769;181.401931;188.350263;134.06992
64250;77.770632;91.380493;50.550911;169.151125;210.95284;110.823151;94.296892;37.913183
64251;6.913223;24.690083;7.900826;37.528926;56.293388;21.727273;41.479339;24.690083
64252;45.116214;75.198239;27.071366;94.243001;189.496834;113.285033;152.37447;57.093342
64253;30.264151;36.884434;13.240566;59.582547;87.955189;56.745283;69.040094;29.318396
64254;41.21673;43.277567;26.790875;113.346008;117.467681;62.855513;65.946768;26.790875
64255;33.026316;39.631579;17.928571;92.473684;118.894737;89.642857;52.842105;24.533835
64256;350.723695;456.64025200000003;493.074258;1148.067736;1236.026971;867.363628;810.213913;360.218594
64257;21.256757;20.290541;8.695946;53.141892;67.635135;53.141892;29.952703;9.662162
64258;2.90625;7.75;5.8125;8.71875;18.40625;18.40625;16.46875;8.71875
64259;42.0;48.0;66.0;133.0;150.0;107.0;68.0;32.0
64260;828.453884;1025.437903;841.259771;3292.675252;3756.368371;1974.86074;1567.304596;1066.575839
64261;25.069252;27.074792;14.038781;66.182825;83.229917;61.168975;47.130194;14.038781
64262;24.0;26.0;12.0;43.0;55.0;56.0;35.0;8.0
64263;10.125786;14.176101;6.075472;25.314465;37.465409;24.301887;22.27673;12.150943
64264;8.197531;10.246914;6.148148;13.320988;21.518519;8.197531;5.123457;5.123457
64265;3.0;4.0;6.0;12.0;17.0;11.0;13.0;4.0
64266;24.0;17.0;10.0;55.0;48.0;19.0;30.0;12.0
64267;4.081633;12.244898;9.183673;11.22449;28.571429;6.122449;13.265306;8.163265
64268;14.486486;11.382239;17.590734;48.633205;56.911197;44.494208;41.389961;12.416988
64269;303.992515;462.720535;241.018485;477.037005;1111.802036;626.716326;446.525601;80.60781
64270;67.633579;61.485072;73.612035;156.786933;197.752688;134.120942;109.259689;75.665981
64271;31.199914;51.674857;18.524949;92.624744;97.499731;57.882145;72.700931;55.992849
64272;2.044118;4.088235;8.176471;31.683824;23.507353;26.573529;20.441176;6.132353
64273;64.323221;74.533256;44.924154;176.633606;177.654609;116.394399;123.541424;29.609102
64274;23.141975;27.166667;3.018519;71.438272;69.425926;42.259259;43.265432;13.080247
64275;19.91873;37.845586;28.882158;79.674918;105.569266;87.678659;131.626735;76.913664
64276;13.103586;9.071713;19.151394;41.326693;62.494024;43.342629;30.239044;16.12749
64277;33.534977;21.34044;18.291806;96.540085;69.086615;45.713753;44.445358;75.317453
64279;153.455181;176.520084;115.340557;355.072035;492.512892;231.70988;278.810705;96.198228
64280;35.230769;34.224176;28.184615;72.474725;77.507692;54.356044;92.606593;37.243956
64281;12.545455;11.5;0.0;26.136364;25.090909;27.181818;38.681818;11.5
64282;89.527006;122.145623;79.262422;206.905802;285.138842;114.261413;80.291804;24.70517
64283;3.0;2.0;9.0;42.0;33.0;31.0;26.0;7.0
