codgeo;CLUSTER
12160000;8.0
1218;9.0
12180000;9.0
1219;10.0
12190000;10.0
1221;8.0
12210000;8.0
1224;9.0
12240000;9.0
1225;6.0
12250000;6.0
1227;9.0
12270000;9.0
1228;9.0
12280000;9.0
1229;9.0
12290000;9.0
1230;8.0
12300000;8.0
1231;9.0
12310000;9.0
1232;10.0
12320000;10.0
1233;8.0
12330000;8.0
1234;8.0
12340000;8.0
1235;10.0
12350000;10.0
1236;6.0
12360000;6.0
1237;9.0
12370000;9.0
1238;6.0
12380000;6.0
1239;6.0
12390000;6.0
1240;9.0
12400000;9.0
1241;9.0
12410000;9.0
1242;10.0
12420000;10.0
1243;6.0
12430000;6.0
12440101;2.0
12440102;1.0
12440103;9.0
1245;8.0
12450000;8.0
1246;10.0
12460000;10.0
1247;2.0
12470000;2.0
1248;6.0
12480000;6.0
12490101;2.0
12490102;5.0
12490103;9.0
1250;6.0
12500000;6.0
1252;6.0
12520000;6.0
1254;6.0
12540000;6.0
1255;10.0
12550000;10.0
1257;9.0
12570000;9.0
1258;6.0
12580000;6.0
1259;6.0
12590000;6.0
1260;6.0
12600000;6.0
1261;6.0
12610000;6.0
12620101;9.0
12620102;4.0
1263;9.0
12630000;9.0
1264;9.0
12640000;9.0
1265;5.0
12650000;5.0
1266;10.0
12660000;10.0
1267;9.0
12670000;9.0
1268;9.0
12680000;9.0
1269;1.0
12690000;1.0
1271;6.0
12710000;6.0
1272;10.0
12720000;10.0
1273;9.0
12730000;9.0
1274;10.0
12740000;10.0
1275;9.0
12750000;9.0
1276;6.0
12760000;6.0
1277;7.0
12770000;7.0
1279;8.0
12790000;8.0
1280;8.0
12800000;8.0
1281;2.0
12810000;2.0
1282;9.0
12820000;9.0
12830102;4.0
12830103;4.0
12830104;4.0
12830201;1.0
12830202;1.0
12830203;5.0
12830301;2.0
12830302;8.0
12830303;1.0
12830304;1.0
12830305;8.0
12830306;6.0
1284;6.0
12840000;6.0
1285;9.0
12850000;9.0
1286;6.0
12860000;6.0
1288;9.0
12880000;9.0
12890101;2.0
12890102;10.0
1290;9.0
12900000;9.0
1291;6.0
12910000;6.0
1292;8.0
12920000;8.0
1293;6.0
12930000;6.0
1294;8.0
12940000;8.0
1295;6.0
12950000;6.0
1296;8.0
12960000;8.0
1297;6.0
12970000;6.0
1298;8.0
12980000;8.0
1299;6.0
12990000;6.0
1300;10.0
13000000;10.0
1301;9.0
13010000;9.0
1302;8.0
13020000;8.0
1303;10.0
13030000;10.0
1304;10.0
13040000;10.0
1305;2.0
13050000;2.0
1306;2.0
13060000;2.0
1307;2.0
13070000;2.0
1308;9.0
13080000;9.0
1309;9.0
13090000;9.0
1310;9.0
13100000;9.0
1311;8.0
13110000;8.0
1312;10.0
13120000;10.0
1313;2.0
13130000;2.0
1314;9.0
13140000;9.0
1316;9.0
13160000;9.0
1317;8.0
13170000;8.0
1318;6.0
13180000;6.0
1319;9.0
13190000;9.0
1320;9.0
13200000;9.0
1321;6.0
13210000;6.0
1322;6.0
13220000;6.0
1323;9.0
13230000;9.0
1325;6.0
13250000;6.0
1328;9.0
13280000;9.0
1329;8.0
13290000;8.0
1330;8.0
13300000;8.0
1331;6.0
13310000;6.0
1332;6.0
13320000;6.0
1333;10.0
13330000;10.0
1334;6.0
13340000;6.0
1335;6.0
13350000;6.0
1336;9.0
13360000;9.0
1337;9.0
13370000;9.0
1338;9.0
13380000;9.0
1339;6.0
13390000;6.0
1340;8.0
13400000;8.0
1341;8.0
13410000;8.0
1342;6.0
13420000;6.0
1343;9.0
13430000;9.0
1344;9.0
13440000;9.0
1345;10.0
13450000;10.0
1346;6.0
13460000;6.0
1347;6.0
13470000;6.0
1348;10.0
13480000;10.0
1349;6.0
13490000;6.0
1350;10.0
13500000;10.0
1351;6.0
13510000;6.0
1352;9.0
13520000;9.0
1353;6.0
13530000;6.0
13540101;9.0
13540102;1.0
13540103;1.0
1355;9.0
13550000;9.0
1356;6.0
13560000;6.0
1357;2.0
13570000;2.0
1358;9.0
13580000;9.0
1359;9.0
13590000;9.0
1360;10.0
13600000;10.0
1361;6.0
13610000;6.0
1362;6.0
13620000;6.0
1363;10.0
13630000;10.0
1364;10.0
13640000;10.0
1365;6.0
13650000;6.0
1366;6.0
13660000;6.0
1367;10.0
13670000;10.0
1368;6.0
13680000;6.0
1369;6.0
13690000;6.0
1370;1.0
13700000;1.0
1371;9.0
13710000;9.0
1372;6.0
13720000;6.0
1373;9.0
13730000;9.0
1374;6.0
13740000;6.0
1375;6.0
13750000;6.0
1376;2.0
13760000;2.0
1378;6.0
13780000;6.0
1379;6.0
13790000;6.0
1380;8.0
13800000;8.0
1381;6.0
13810000;6.0
1382;6.0
13820000;6.0
1383;9.0
13830000;9.0
1384;2.0
13840000;2.0
1385;9.0
13850000;9.0
1386;8.0
13860000;8.0
1387;8.0
13870000;8.0
1388;7.0
13880000;7.0
1389;9.0
13890000;9.0
1390;9.0
13900000;9.0
1391;8.0
13910000;8.0
1392;6.0
13920000;6.0
1393;9.0
13930000;9.0
1396;2.0
13960000;2.0
1397;9.0
13970000;9.0
1398;9.0
13980000;9.0
1399;9.0
13990000;9.0
1400;8.0
14000000;8.0
1401;9.0
14010000;9.0
1402;8.0
14020000;8.0
1403;9.0
14030000;9.0
1404;7.0
14040000;7.0
1405;9.0
14050000;9.0
1406;8.0
14060000;8.0
1407;2.0
14070000;2.0
1408;9.0
14080000;9.0
1409;8.0
14090000;8.0
1410;6.0
14100000;6.0
1411;8.0
14110000;8.0
1412;6.0
14120000;6.0
1413;8.0
14130000;8.0
1414;6.0
14140000;6.0
1415;8.0
14150000;8.0
1416;2.0
14160000;2.0
1417;8.0
14170000;8.0
1418;6.0
14180000;6.0
1419;10.0
14190000;10.0
1420;1.0
14200000;1.0
1421;8.0
14210000;8.0
1422;6.0
14220000;6.0
1423;6.0
14230000;6.0
1424;6.0
14240000;6.0
1425;6.0
14250000;6.0
1426;9.0
14260000;9.0
14270101;5.0
14270102;1.0
1428;6.0
14280000;6.0
1429;6.0
14290000;6.0
1430;9.0
14300000;9.0
1431;9.0
14310000;9.0
1432;8.0
14320000;8.0
1433;6.0
14330000;6.0
1434;6.0
14340000;6.0
1435;9.0
14350000;9.0
1436;10.0
14360000;10.0
1437;6.0
14370000;6.0
1439;9.0
14390000;9.0
1441;9.0
14410000;9.0
1442;8.0
14420000;8.0
1443;2.0
14430000;2.0
1444;9.0
14440000;9.0
1445;9.0
14450000;9.0
1446;6.0
14460000;6.0
1447;9.0
14470000;9.0
1448;9.0
14480000;9.0
1449;6.0
14490000;6.0
1450;6.0
14500000;6.0
14510101;6.0
14510102;10.0
1452;10.0
14520000;10.0
1453;10.0
14530000;10.0
1454;9.0
14540000;9.0
1456;8.0
14560000;8.0
1457;10.0
14570000;10.0
2001;6.0
20010000;6.0
2002;6.0
20020000;6.0
2003;6.0
20030000;6.0
2004;9.0
20040000;9.0
2005;6.0
20050000;6.0
2006;6.0
20060000;6.0
2007;6.0
20070000;6.0
2008;6.0
20080000;6.0
2009;6.0
20090000;6.0
2010;6.0
20100000;6.0
2011;6.0
20110000;6.0
2012;8.0
20120000;8.0
2013;6.0
20130000;6.0
2014;6.0
20140000;6.0
2015;6.0
20150000;6.0
2016;6.0
20160000;6.0
2017;9.0
20170000;9.0
2018;10.0
20180000;10.0
2019;6.0
20190000;6.0
2020;6.0
20200000;6.0
2021;6.0
20210000;6.0
2022;6.0
20220000;6.0
2023;6.0
20230000;6.0
2024;8.0
20240000;8.0
2025;6.0
20250000;6.0
2026;6.0
20260000;6.0
2027;6.0
20270000;6.0
2028;9.0
20280000;9.0
2029;6.0
20290000;6.0
2030;6.0
20300000;6.0
2031;9.0
20310000;9.0
2032;9.0
20320000;9.0
2033;6.0
20330000;6.0
2034;6.0
20340000;6.0
2035;6.0
20350000;6.0
2036;9.0
20360000;9.0
2037;9.0
20370000;9.0
2038;8.0
20380000;8.0
2039;9.0
20390000;9.0
2040;9.0
20400000;9.0
2041;6.0
20410000;6.0
2042;8.0
20420000;8.0
2043;9.0
20430000;9.0
2044;8.0
20440000;8.0
2046;6.0
20460000;6.0
2047;9.0
20470000;9.0
2048;8.0
20480000;8.0
2049;6.0
20490000;6.0
2050;6.0
20500000;6.0
2051;8.0
20510000;8.0
2052;6.0
20520000;6.0
2053;8.0
20530000;8.0
2054;6.0
20540000;6.0
2055;6.0
20550000;6.0
2056;6.0
20560000;6.0
2057;9.0
20570000;9.0
2058;6.0
20580000;6.0
2059;2.0
20590000;2.0
2060;6.0
20600000;6.0
2061;6.0
20610000;6.0
2062;6.0
20620000;6.0
2063;6.0
20630000;6.0
2064;5.0
20640000;5.0
2065;6.0
20650000;6.0
2066;6.0
20660000;6.0
2067;8.0
20670000;8.0
2068;6.0
20680000;6.0
2069;6.0
20690000;6.0
2070;9.0
20700000;9.0
2071;9.0
20710000;9.0
2072;6.0
20720000;6.0
2073;9.0
20730000;9.0
2074;6.0
20740000;6.0
2075;6.0
20750000;6.0
2076;6.0
20760000;6.0
2077;6.0
20770000;6.0
2078;9.0
20780000;9.0
2079;8.0
20790000;8.0
2080;9.0
20800000;9.0
2081;6.0
20810000;6.0
2082;6.0
20820000;6.0
2083;6.0
20830000;6.0
2084;9.0
20840000;9.0
2085;6.0
20850000;6.0
2086;6.0
20860000;6.0
2087;9.0
20870000;9.0
2088;8.0
20880000;8.0
2089;8.0
20890000;8.0
2090;6.0
20900000;6.0
2091;6.0
20910000;6.0
2093;10.0
20930000;10.0
2094;9.0
20940000;9.0
2095;10.0
20950000;10.0
2096;6.0
20960000;6.0
2097;6.0
20970000;6.0
2098;6.0
20980000;6.0
2099;6.0
20990000;6.0
2100;9.0
21000000;9.0
2101;6.0
21010000;6.0
2102;9.0
21020000;9.0
2103;10.0
21030000;10.0
2104;6.0
21040000;6.0
2105;6.0
21050000;6.0
2106;9.0
21060000;9.0
2107;9.0
21070000;9.0
2108;6.0
21080000;6.0
2109;9.0
21090000;9.0
2110;10.0
21100000;10.0
2111;6.0
21110000;6.0
2112;9.0
21120000;9.0
2114;9.0
21140000;9.0
2115;9.0
21150000;9.0
2116;6.0
21160000;6.0
2117;6.0
21170000;6.0
2118;8.0
21180000;8.0
2119;6.0
21190000;6.0
2120;6.0
21200000;6.0
2121;9.0
21210000;9.0
2122;8.0
21220000;8.0
2123;6.0
21230000;6.0
2124;8.0
21240000;8.0
2125;6.0
21250000;6.0
2126;10.0
21260000;10.0
2127;6.0
